Film,Rule,Class
Guardians of the Galaxy,"""Thanos"" or ""Orb"" is said",S
Guardians of the Galaxy 2,"The words ""Star Lord"", ""Battery"" or ""Dad"" are said ",S
Guardians of the Galaxy 2,Drax laughs,M
Guardians of the Galaxy 2,New planet/location shown ,M
Guardians of the Galaxy 2,"""I'm Mary Poppins y'all!""",L
Infinity War,Someone forced to chose between protecting/obtaining an Infinity Stone and someone else's life.,M
Infinity War,Thanos uses an infinity stone,S
Infinity War,The Snap,L
Infinity War,"The words ""Thanos"", ""Stone"" or ""Avengers"" are said ",S
Infinity War,The movie switches between Earth and Space,S
Infinity War,A location title is shown,M
Infinity War,Rocket is referred to as a rabbit ,M
Infinity War,Thanos obtains an Infinity Stone ,M
Iron Man,Suit malfunctions,M
Iron Man,Hologram or heads-up display,S
Iron Man,"Someone says ""Shield""",S
Iron Man,Flies for first time,L
Iron Man 2,"Someone says ""Bird""",S
Iron Man 2,Tony's [poor] health is referenced,S
Iron Man 2,Tony discovers a new element,M
Iron Man 2,“My Greatest Creation… Is You”,L
Iron Man 3,Someone banters with their suit's artificial intelligence,M
Iron Man 3,"Anyone says ""Mandarin""",S
Iron Man 3,There’s a reference to New York / The Avengers,M
Iron Man 3,One of the Iron Man suits is destroyed,S
Iron Man 3,Killian breaths fire/lava,M
Iron Man 3,"The ""Mandarin"" is revealed",L
The Avengers,Someone makes a pop culture reference,M
The Avengers,"""Puny God""",L
The Avengers,"Anyone says ""Loki"" or ""Tesseract""",S
The Avengers,Someone gets blue'd,M
The Avengers,Tony calls someone a nickname instead of their real/hero name,M
The Avengers,Coulson's death,L
Thor,"Anyone says ""Thor"" or ""Asgard""",S
Thor,Lightning,S
Thor,"“This drink, I like it! Another!” (Ensure you do 2)",M
Thor,Camera is at a jaunty angle for no reason,M
Thor,“Is it madness….is it?!… IS IT?!”,L
Thor Ragnarok,"The words ""Ragnarok"" ""Asgard"" or ""Grand Master"" are said ",S
Thor Ragnarok,Someone is electrocuted,S
Thor Ragnarok,Another avenger is referenced,S
Thor Ragnarok,Korg is comic relief,M
Thor Ragnarok,Mjolnir is destroyed,M
Thor Ragnarok,Thor summons lightning from within,L
Thor Ragnarok,Hulk transforms,M
Thor Ragnarok,Jeff Goldblum goes full Jeff Goldblum,M
Thor: The Dark World,"Anyone says ""Thor"", ""Asgard"" or ""Aether""",S
Thor: The Dark World,Thor flips a table.,M
Thor: The Dark World,“You must be truly desperate to come to me for help.”,M
Thor: The Dark World,Frigga’s Funeral,M
Thor: The Dark World,"""Ta-dah!""",L
